name,office,office_full,party,party_full,state,district,district_number,election_districts,election_years,cycles,candidate_status,incumbent_challenge,incumbent_challenge_full,load_date,first_file_date,last_file_date,last_f2_date,candidate_id,active_through
"MCMAHON, MICHAEL E. MR.",H,House,DEM,DEMOCRATIC PARTY,NY,13,13,"{13,13}","{2008,2010}","{2008,2010,2012,2014}",P,C,Challenger,2011-02-24 10:53:11,2008-06-02,2010-01-31,2010-01-31,H8NY13077,2010
"BRINDISI, ANTHONY",H,House,DEM,DEMOCRATIC PARTY,NY,22,22,{22},{2018},{2018},C,C,Challenger,2017-11-06 20:55:42,2017-06-28,2017-11-06,2017-11-06,H8NY22151,2018
"RICHMOND, FREDERICK W",H,House,DEM,DEMOCRATIC PARTY,NY,14,14,"{14,14,14,14}","{1976,1978,1980,1982}","{1976,1978,1980,1982,1984,1986,1988,1990,1992,1994}",P,C,Challenger,2002-03-30 00:00:00,1976-07-14,1982-05-27,1982-05-27,H6NY14087,1982
"ALTSCHULER, RANDOLPH MR.",H,House,REP,REPUBLICAN PARTY,NY,01,1,"{01,01}","{2010,2012}","{2010,2012,2014}",P,C,Challenger,2013-04-26 09:04:30,2009-08-10,2012-09-26,2012-09-26,H0NY01129,2012
"ALDERSLEY, STEPHANIE RUTH",H,House,DEM,DEMOCRATIC PARTY,NY,25,25,{25},{2002},"{2002,2004}",P,C,Challenger,2002-10-23 00:00:00,2002-07-20,2002-07-20,2002-07-20,H2NY25058,2002
"POCCHIA, ANTHONY J",H,House,DEM,DEMOCRATIC PARTY,NY,14,14,"{14,14}","{1990,1992}","{1990,1992,1994}",P,C,Challenger,2002-03-30 00:00:00,1990-06-22,1992-04-14,1992-04-14,H0NY14130,1992
"HOFFMAN, RICHARD A",H,House,REP,REPUBLICAN PARTY,NY,18,18,"{18,18}","{2004,2006}","{2004,2006,2008,2010}",P,C,Challenger,2006-10-17 00:00:00,2004-03-19,2006-08-31,2004-03-19,H4NY18075,2006
"OOT, MICHAEL P",H,House,DEM,DEMOCRATIC PARTY,NY,23,23,{23},{2008},"{2008,2010}",C,C,Challenger,2008-02-13 00:00:00,2007-10-09,2007-10-16,2007-10-16,H8NY23100,2008
"GRAHAM, LARRY",H,House,DEM,DEMOCRATIC PARTY,NY,19,19,"{19,19}","{1998,2000}","{1998,2000,2002}",P,C,Challenger,2002-04-12 00:00:00,1998-02-24,2000-05-12,2000-05-12,H8NY19108,2000
"STEFANIK, ELISE M.",H,House,REP,REPUBLICAN PARTY,NY,21,21,"{21,21,21}","{2014,2016,2018}","{2014,2016,2018}",C,I,Incumbent,2018-03-05 21:06:52,2013-08-06,2018-03-05,2018-03-05,H4NY21079,2018
"BINDER, ALLAN",H,House,REP,REPUBLICAN PARTY,NY,02,2,"{05,05,02}","{1992,1994,2002}","{1992,1994,1996,1998,2000,2002,2004}",P,C,Challenger,2002-06-06 00:00:00,1992-05-12,2002-06-05,2002-06-05,H2NY03071,2002
"BALLETTA, MR. VINCENT R.  JR.",H,House,REP,REPUBLICAN PARTY,NY,06,6,{06},{1976},"{1976,1978,1980,1982,1984,1986}",P,C,Challenger,2002-03-30 00:00:00,1976-06-15,1977-01-15,1976-06-15,H6NY06034,1976
"SUNDQUIST, EDWARD A.",H,House,DEM,DEMOCRATIC PARTY,NY,23,23,{23},{2018},{2018},C,C,Challenger,2017-09-15 21:00:12,2017-05-23,2017-05-23,2017-05-23,H8NY23134,2018
"DIETERICH, ROBERT J",H,House,REP,REPUBLICAN PARTY,NY,20,20,{20},{2012},"{2012,2014}",P,C,Challenger,2013-04-26 09:04:30,2012-03-07,2012-03-29,2012-03-29,H2NY21099,2012
"LAMAGNA, DAL",H,House,DEM,DEMOCRATIC PARTY,NY,03,3,"{03,03}","{1996,2000}","{1996,1998,2000,2002}",P,C,Challenger,2002-04-12 00:00:00,1996-02-20,2000-07-12,2000-07-12,H6NY03122,2000
"BRADT, MARY A",H,House,CRV,CONSERVATIVE PARTY,NY,28,28,{28},{1980},"{1980,1982,1984}",P,,,2002-03-30 00:00:00,,,,H0NY28023,1980
"ESPADA, PEDRO JR",H,House,DEM,DEMOCRATIC PARTY,NY,18,18,{18},{1988},"{1988,1990,1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1988-06-20,1988-06-20,1988-06-20,H8NY18191,1988
"GAUGHAN, KEVIN PATRICK",H,House,DEM,DEMOCRATIC PARTY,NY,30,30,"{31,30}","{1990,1994}","{1990,1992,1994,1996,1998}",P,C,Challenger,2002-04-03 00:00:00,1990-07-31,1994-03-28,1994-03-28,H0NY31027,1994
"WALKER, WM BUD",H,House,REP,REPUBLICAN PARTY,NY,26,26,"{26,26}","{1996,1998}","{1996,1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1995-07-10,1998-02-26,1998-02-26,H6NY26073,1998
"LONG, GRAHAM E",H,House,DEM,DEMOCRATIC PARTY,NY,03,3,{03},{2008},"{2008,2010}",C,C,Challenger,2008-07-24 00:00:00,2008-05-05,2008-05-06,2008-05-06,H8NY03144,2008
"FOTOPOULOS, HARRY C",H,House,DEM,DEMOCRATIC PARTY,NY,17,17,"{17,17}","{1988,1990}","{1988,1990}",N,C,Challenger,2002-03-30 00:00:00,1988-09-02,1988-09-02,1988-09-02,H8NY17052,1990
"TOLDA, ANTHONY E",H,House,REP,REPUBLICAN PARTY,NY,03,3,"{02,03}","{2010,2012}","{2010,2012,2014,2016,2018}",N,C,Challenger,2012-03-28 21:48:09,2009-12-30,2012-03-28,2012-03-28,H0NY02168,2012
"GAY, DAVID ANDREW",H,House,REP,REPUBLICAN PARTY,NY,25,25,{25},{2008},"{2008,2010}",C,C,Challenger,2008-08-12 00:00:00,2008-06-14,2008-07-24,2008-06-14,H8NY25089,2008
"WALLACE, JOHN WILLIAM",H,House,REP,REPUBLICAN PARTY,NY,20,20,{20},{2008},"{2008,2010}",C,C,Challenger,2008-01-07 00:00:00,2007-05-04,2007-05-30,2007-05-30,H8NY20130,2008
"WEINER, ANTHONY D MR",H,House,DEM,DEMOCRATIC PARTY,NY,09,9,"{09,09,09,09,09,09,09,09}","{1998,2000,2002,2004,2006,2008,2010,2012}","{1998,2000,2002,2004,2006,2008,2010,2012,2014}",P,C,Challenger,2013-04-26 09:04:30,1997-05-28,2010-12-15,2010-12-15,H8NY09091,2012
"KEMPNER, PEGI",H,House,UNK,UNKNOWN,NY,18,18,{18},{1992},"{1992,1994}",P,C,Challenger,2002-03-30 00:00:00,1992-10-01,1992-10-01,1992-10-01,H2NY18046,1992
"VASQUEZ,FERNANDO",H,House,UNK,UNKNOWN,NY,07,7,{07},{1996},{1996},N,C,Challenger,2002-04-02 00:00:00,,,,H6NY07123,1996
"MCCAFFREY, WALTER L",H,House,DEM,DEMOCRATIC PARTY,NY,07,7,{07},{2000},"{2000,2002,2004,2006}",P,C,Challenger,2002-04-12 00:00:00,2000-03-20,2000-03-20,2000-03-20,H0NY07027,2000
"MCADAMS, KEVIN",H,House,DEM,DEMOCRATIC PARTY,NY,00,0,{00},{2004},"{2004,2006,2008}",P,C,Challenger,2004-04-19 00:00:00,2003-08-18,2004-04-08,2004-04-08,H4NY00032,2004
"PEOPLES, CRYSTAL D",H,House,DEM,DEMOCRATIC PARTY,NY,30,30,{30},{1998},"{1998,2000,2002}",P,C,Challenger,2002-04-12 00:00:00,1998-05-14,1998-05-14,1998-05-14,H8NY30055,1998
"MICHAILIDIS, CONSTANTINOS",H,House,NNE,NONE,NY,03,3,{03},{2018},{2018},N,C,Challenger,2017-10-05 20:56:00,2017-09-05,2017-09-05,2017-09-05,H8NY03169,2018
"EMIG, ZACH",H,House,DEM,DEMOCRATIC PARTY,NY,11,11,{11},{2018},{2018},C,C,Challenger,2017-09-15 21:00:12,2017-05-05,2017-05-05,2017-05-05,H8NY11071,2018
"COLLINS, CHRISTOPHER C",H,House,REP,REPUBLICAN PARTY,NY,27,27,"{29,27,27,27,27}","{1998,2012,2014,2016,2018}","{1998,2000,2002,2004,2012,2014,2016,2018}",C,I,Incumbent,2017-04-10 20:57:55,1998-04-04,2016-11-27,2016-11-27,H8NY29032,2018
"HOLTZMAN, ELIZABETH",H,House,DEM,DEMOCRATIC PARTY,NY,16,16,"{16,16}","{1976,1978}","{1976,1978,1980,1982,1984}",P,C,Challenger,2002-03-30 00:00:00,1976-07-09,1978-08-09,1978-08-09,H6NY16025,1978
"BOYLE, PHILIP M",H,House,REP,REPUBLICAN PARTY,NY,02,2,{02},{2002},"{2000,2002,2004}",P,C,Challenger,2002-08-15 00:00:00,2000-08-23,2000-08-23,2000-08-23,H0NY02143,2002
"MCEWEN, ROBERT C.",H,House,REP,REPUBLICAN PARTY,NY,30,30,"{30,30,30}","{1976,1978,1980}","{1976,1978,1980,1982,1984}",P,C,Challenger,2002-03-30 00:00:00,1976-03-25,1979-09-19,1979-09-19,H6NY30026,1980
"PINZON, DAVID C",H,House,REP,REPUBLICAN PARTY,NY,05,5,{05},{1998},"{1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1998-08-24,1998-08-24,1998-08-24,H8NY05065,1998
"SKORSKI, ALAN",H,House,REP,REPUBLICAN PARTY,NY,04,4,{04},{2002},"{2002,2004,2006}",P,C,Challenger,2002-04-12 00:00:00,2001-05-07,2001-05-07,2001-05-07,H2NY04111,2002
"STRUB, SEAN O'BRIEN",H,House,DEM,DEMOCRATIC PARTY,NY,22,22,{22},{1990},"{1990,1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1990-06-25,1990-06-25,1990-06-25,H0NY22042,1990
"NARIMAN, AYESHA F",H,House,DEM,DEMOCRATIC PARTY,NY,26,26,{26},{2002},"{2002,2004,2006}",P,C,Challenger,2002-10-24 00:00:00,2002-09-10,2002-09-10,2002-09-10,H2NY26114,2002
"TREADWELL, SANDY",H,House,REP,REPUBLICAN PARTY,NY,20,20,{20},{2008},"{2008,2010}",C,C,Challenger,2008-01-07 00:00:00,2007-04-17,2007-04-17,2007-04-17,H8NY20122,2008
"BLESSINGER, MARTIN W",H,House,CON,CONSTITUTION PARTY,NY,04,4,{04},{2006},"{2006,2008}",P,C,Challenger,2009-04-29 00:00:00,2006-07-03,2006-07-03,2006-07-03,H6NY04120,2006
"LOWEY, NITA M",H,House,DEM,DEMOCRATIC PARTY,NY,17,17,"{20,20,18,18,18,18,18,18,18,18,18,17,17,17,17}","{1988,1990,1992,1994,1996,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}","{1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}",C,I,Incumbent,2017-04-10 20:57:55,1987-12-03,2016-11-22,2016-11-22,H8NY20056,2018
"HENRY, BRENDON T",H,House,DEM,DEMOCRATIC PARTY,NY,01,1,{01},{2018},{2018},C,C,Challenger,2017-11-06 20:55:42,2017-07-27,2017-07-27,2017-07-27,H8NY01171,2018
"EISENBACH, DAVID",H,House,DEM,DEMOCRATIC PARTY,NY,12,12,{12},{2016},"{2016,2018}",P,C,Challenger,2017-02-23 14:47:46,2015-10-19,2015-10-19,2015-10-19,H6NY12123,2016
"CALLARD, DAVID B",H,House,REP,REPUBLICAN PARTY,NY,29,29,{29},{1996},{1996},C,C,Challenger,2002-04-02 00:00:00,1995-11-01,1995-11-01,1995-11-01,H6NY29143,1996
"KRUPSAK, MARY ANNE",H,House,DEM,DEMOCRATIC PARTY,NY,30,30,{30},{1980},"{1980,1982,1984}",P,C,Challenger,2002-03-30 00:00:00,1980-09-08,1980-09-08,1980-09-08,H0NY30045,1980
"HURLEY, RODGER L",H,House,DEM,DEMOCRATIC PARTY,NY,29,29,{29},{1980},"{1980,1982,1984}",P,,,2002-03-30 00:00:00,1980-06-24,1980-06-24,1980-06-24,H0NY29013,1980
"TERRY, RANDALL A",H,House,RTL,RIGHT TO LIFE,NY,26,26,"{23,26}","{1992,1998}","{1992,1998,2000,2002,2004,2006}",P,C,Challenger,2002-04-12 00:00:00,1997-06-03,1997-07-23,1997-07-23,H2NY23079,1998
"GOBAN, FRANCIS THOMAS",H,House,DEM,DEMOCRATIC PARTY,NY,04,4,"{04,04}","{1988,1990}","{1988,1990}",N,C,Challenger,2002-03-30 00:00:00,1988-07-12,1990-09-10,1990-09-10,H8NY04035,1990
"WHALEN, CHARLES",H,House,DEM,DEMOCRATIC PARTY,NY,23,23,{23},{2018},{2018},C,C,Challenger,2018-02-08 21:14:37,2017-10-02,2017-10-02,2017-10-02,H8NY23217,2018
"MALONEY, SEAN PATRICK",H,House,DEM,DEMOCRATIC PARTY,NY,18,18,"{18,18,18,18}","{2012,2014,2016,2018}","{2012,2014,2016,2018}",C,I,Incumbent,2017-10-05 20:56:00,2012-02-10,2017-10-05,2017-10-05,H2NY22139,2018
"BEALS, JEFFREY",H,House,DEM,DEMOCRATIC PARTY,NY,19,19,{19},{2018},{2018},C,C,Challenger,2017-10-11 20:57:02,2017-05-21,2017-05-21,2017-05-21,H8NY19215,2018
"DEMOS, GEORGE",H,House,REP,REPUBLICAN PARTY,NY,01,1,"{01,01,01}","{2010,2012,2014}","{2010,2012,2014,2016,2018}",P,C,Challenger,2015-04-02 15:52:44,2009-10-13,2013-09-25,2013-09-25,H0NY01137,2014
"PRISCO, EUGENE V",H,House,DEM,DEMOCRATIC PARTY,NY,13,13,{13},{1998},"{1998,2000,2002}",P,C,Challenger,2002-04-12 00:00:00,1998-09-24,1998-09-24,1998-09-24,H8NY13044,1998
"BURRIDGE, CRAIG MICHAEL",H,House,DEM,DEMOCRATIC PARTY,NY,21,21,{21},{2008},"{2008,2010}",C,C,Challenger,2008-08-18 00:00:00,2008-04-23,2008-05-12,2008-05-12,H8NY21195,2008
"SHEEHY, KEVIN L",H,House,DEM,DEMOCRATIC PARTY,NY,14,14,"{14,14}","{1982,1984}","{1982,1984,1986,1988,1990,1992,1994}",P,C,Challenger,2002-03-30 00:00:00,1982-09-01,1984-08-20,1984-08-20,H2NY14011,1984
"KRYZAN, ALICE J",H,House,DEM,DEMOCRATIC PARTY,NY,26,26,{26},{2008},"{2008,2010}",C,C,Challenger,2008-03-27 00:00:00,2007-08-28,2007-08-28,2007-08-28,H8NY26079,2008
"BINGHAM, JONATHAN BREWSTER",H,House,DEM,DEMOCRATIC PARTY,NY,22,22,"{22,22,22,22}","{1976,1978,1980,1982}","{1976,1978,1980,1982,1984}",P,C,Challenger,2002-03-30 00:00:00,1976-03-23,1980-02-15,1980-02-15,H6NY22023,1982
"TELANO, LOU",H,House,UNK,UNKNOWN,NY,09,9,{09},{1998},"{1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1999-02-16,1999-02-16,,H8NY09125,1998
"KING, PETE",H,House,REP,REPUBLICAN PARTY,NY,02,2,"{03,03,03,03,03,03,03,03,03,03,02,02,02,02}","{1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}","{1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}",C,I,Incumbent,2017-03-13 20:59:20,1992-07-14,2017-03-07,2017-03-07,H2NY03089,2018
"FARRIN, JAMES",H,House,REP,REPUBLICAN PARTY,NY,08,8,{08},{2002},"{2002,2004}",P,C,Challenger,2002-07-24 00:00:00,2002-06-21,2002-06-21,2002-06-21,H2NY08088,2002
"DOW, JOHN G",H,House,DEM,DEMOCRATIC PARTY,NY,22,22,"{23,22}","{1982,1990}","{1982,1984,1990,1992}",N,C,Challenger,2002-03-30 00:00:00,1982-07-06,1990-08-08,1990-08-08,H2NY23012,1990
"SULLIVAN, PETER M",H,House,REP,REPUBLICAN PARTY,NY,20,20,{20},{1984},"{1984,1986}",P,C,Challenger,2002-03-30 00:00:00,1984-02-21,1984-02-21,1984-02-21,H4NY20030,1984
"TAUB, ASHER E",H,House,REP,REPUBLICAN PARTY,NY,06,6,{06},{2010},"{2010,2012}",P,C,Challenger,2011-02-24 10:53:11,2010-07-19,2010-07-19,2010-07-19,H0NY06045,2010
"DELLA PIA, MAX HAROLD",H,House,DEM,DEMOCRATIC PARTY,NY,23,23,{23},{2018},{2018},C,C,Challenger,2017-10-17 22:53:08,2017-07-10,2017-07-10,2017-07-10,H8NY23175,2018
"BORDEWICH, JEAN PARVIN",H,House,DEM,DEMOCRATIC PARTY,NY,22,22,{22},{1998},"{1998,2000,2002}",P,C,Challenger,2002-04-12 00:00:00,1998-06-04,1998-06-29,1998-06-29,H8NY22052,1998
"DEBONO, DAN",H,House,REP,REPUBLICAN PARTY,NY,03,3,{03},{2018},{2018},C,C,Challenger,2017-10-17 22:53:08,2017-07-26,2017-07-26,2017-07-26,H8NY03151,2018
"EDELMAN, MICHAEL R.",H,House,REP,REPUBLICAN PARTY,NY,24,24,{24},{1978},"{1978,1980,1982,1984}",P,,,2002-03-30 00:00:00,1978-07-05,1978-07-05,1978-07-05,H8NY24025,1978
"CLARK, BARBARA MARLENE",H,House,IND,INDEPENDENT,NY,06,6,{06},{1998},"{1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1997-10-20,1997-10-20,1997-10-20,H8NY06071,1998
"ROMAINE, EDWARD P",H,House,REP,REPUBLICAN PARTY,NY,01,1,"{01,01,01}","{1988,1992,2000}","{1988,1990,1992,1994,1996,1998,2000}",C,C,Challenger,2002-04-07 00:00:00,1988-05-02,1999-08-02,1999-08-02,H8NY01114,2000
"GOTTFRIED, LAWRENCE ALAN",H,House,REP,REPUBLICAN PARTY,NY,03,3,"{03,03}","{1988,1990}","{1988,1990,1992,1994,1996}",N,C,Challenger,2002-04-02 00:00:00,1988-01-05,1989-02-01,1989-02-01,H8NY03037,1990
"COLLESANO, MICHAEL JOSEPH",H,House,DEM,DEMOCRATIC PARTY,NY,27,27,{27},{2004},"{2004,2006}",P,C,Challenger,2006-06-16 00:00:00,2004-05-24,2004-05-24,2004-05-24,H4NY27084,2004
"WITTIG, SUE",H,House,REP,REPUBLICAN PARTY,NY,26,26,{26},{1996},"{1996,1998}",P,C,Challenger,2002-04-03 00:00:00,1995-11-27,1995-11-27,1995-11-27,H6NY26081,1996
"SUOZZI, THOMAS",H,House,DEM,DEMOCRATIC PARTY,NY,03,3,"{03,03}","{2016,2018}","{2016,2018}",C,I,Incumbent,2018-01-01 21:05:10,2016-01-19,2018-01-01,2018-01-01,H6NY03247,2018
"WYNE, JAMSHAD",H,House,REP,REPUBLICAN PARTY,NY,13,13,{13},{2008},"{2008,2010,2012,2014,2016}",P,O,Open seat,2008-07-24 21:44:25,2008-06-16,2008-06-16,2008-06-16,H8NY13085,2008
"JULIAN, GREGORY BARRY",H,House,DEM,DEMOCRATIC PARTY,NY,20,20,"{22,20}","{1986,1994}","{1986,1994,1996,1998}",P,C,Challenger,2002-04-03 00:00:00,1986-12-24,1994-08-05,1994-08-05,H6NY22064,1994
"ZAYAS, SONNY A",H,House,DEM,DEMOCRATIC PARTY,NY,17,17,{17},{2000},"{2000,2002}",P,C,Challenger,2002-04-12 00:00:00,2000-03-28,2000-03-28,2000-03-28,H0NY17117,2000
"MCCALL, JAMES P",H,House,REP,REPUBLICAN PARTY,NY,09,9,{09},{1994},"{1994,1996,1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1994-06-29,1994-06-29,1994-06-29,H4NY00024,1994
"CRONIN, GERARD J",H,House,REP,REPUBLICAN PARTY,NY,09,9,{09},{2004},{2004},C,C,Challenger,2005-03-02 00:00:00,2004-07-15,2004-07-15,2004-07-15,H4NY09082,2004
"HIRSCHFELD, BRUCE",H,House,DEM,DEMOCRATIC PARTY,NY,12,12,{12},{2010},{2010},C,C,Challenger,2010-01-20 21:54:56,2009-08-11,2009-08-11,2009-08-11,H0NY12142,2010
"CARDINO, JOSEPH JR",H,House,REP,REPUBLICAN PARTY,NY,02,2,{02},{1988},"{1988,1990,1992}",P,C,Challenger,2002-03-30 00:00:00,1988-08-02,1988-08-02,1988-08-02,H8NY02039,1988
"ABRAHAMS, KEVAN",H,House,DEM,DEMOCRATIC PARTY,NY,04,4,{04},{2014},"{2014,2016}",P,O,Open seat,2015-04-02 15:52:44,2014-02-03,2014-02-03,2014-02-03,H4NY04067,2014
"LEE, GARY A",H,House,REP,REPUBLICAN PARTY,NY,27,27,"{33,33,27}","{1978,1980,1982}","{1978,1980,1982,1984}",P,C,Challenger,2002-03-30 00:00:00,1978-05-22,1982-09-09,1982-09-09,H8NY33018,1982
"MILLER, ARNOLD",H,House,DEM,DEMOCRATIC PARTY,NY,05,5,{05},{1982},"{1982,1984,1986,1988}",P,C,Challenger,2002-03-30 00:00:00,1982-07-19,1982-07-19,1982-07-19,H2NY05019,1982
"GOMEZ, JOSEPH A",H,House,REP,REPUBLICAN PARTY,NY,21,21,{21},{1994},"{1994,1996,1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1994-06-25,1994-06-25,1994-06-25,H4NY21053,1994
"SNYDER, JAMES J",H,House,REP,REPUBLICAN PARTY,NY,34,34,{34},{1982},"{1982,1984}",P,,,2002-03-30 00:00:00,1982-08-06,1982-08-06,1982-08-06,H2NY34019,1982
"GOMES, TIM",H,House,DEM,DEMOCRATIC PARTY,NY,02,2,{02},{2018},{2018},C,C,Challenger,2017-10-17 22:53:08,2017-09-15,2017-09-15,2017-09-15,H8NY02070,2018
"MORGAN, SETH C",H,House,CRV,CONSERVATIVE PARTY,NY,01,1,"{01,01,01}","{1976,1978,1988}","{1976,1978,1988}",C,C,Challenger,2005-05-26 00:00:00,1976-09-04,1987-12-22,1987-12-22,H6NY01019,1988
"DAVIS, JACK",H,House,REP,REPUBLICAN PARTY,NY,26,26,"{26,26,26,26}","{2004,2006,2008,2011}","{2004,2006,2008,2012}",N,O,Open seat,2011-07-05 22:55:10,2004-03-17,2011-02-26,2011-02-26,H4NY26045,2011
"MITRANO, TRACY",H,House,DEM,DEMOCRATIC PARTY,NY,23,23,{23},{2018},{2018},C,C,Challenger,2018-03-20 21:14:18,2017-09-01,2018-03-20,2018-03-20,H8NY23183,2018
"BRISEE, STEVEN MITCHELL",H,House,DEM,DEMOCRATIC PARTY,NY,19,19,{19},{2018},"{2016,2018}",C,C,Challenger,2017-09-15 21:00:12,2016-12-14,2017-06-22,2017-06-22,H8NY19165,2018
"WALLACE, NEIL TYLER",H,House,REP,REPUBLICAN PARTY,NY,27,27,"{27,27}","{1978,1980}","{1978,1980,1982,1984,1986,1988,1990,1992}",P,C,Challenger,2002-03-30 00:00:00,1978-04-06,1978-04-06,1978-04-06,H8NY27010,1980
"BENET, WILLIAM J",H,House,DEM,DEMOCRATIC PARTY,NY,30,30,{30},{1982},"{1982,1984}",P,,,2002-03-30 00:00:00,1982-05-28,1982-05-28,1982-05-28,H2NY30017,1982
"HOLST, WILLIAM G",H,House,DEM,DEMOCRATIC PARTY,NY,01,1,{01},{1998},"{1998,2000,2002,2004}",P,C,Challenger,2002-04-12 00:00:00,1998-06-20,1998-06-20,1998-06-20,H8NY01130,1998
"FRANCZYK, DAVID A",H,House,DEM,DEMOCRATIC PARTY,NY,30,30,{30},{1994},"{1994,1996,1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1994-03-22,1994-03-22,1994-03-22,H4NY30047,1994
"MEEKS, GREGORY W.",H,House,DEM,DEMOCRATIC PARTY,NY,05,5,"{06,06,06,06,06,06,06,05,05,05,05}","{1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}","{1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}",C,I,Incumbent,2017-04-10 20:57:55,1997-08-11,2016-11-30,2016-11-30,H8NY06048,2018
"CAIMANO, NICHOLAS",H,House,REP,REPUBLICAN PARTY,NY,22,22,{22},{1998},"{1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1998-08-03,1998-08-03,1998-08-03,H8NY22086,1998
"KELLY, WILLIAM G",H,House,DEM,DEMOCRATIC PARTY,NY,05,5,{05},{1988},"{1988,1990}",P,C,Challenger,2002-03-30 00:00:00,1988-06-28,1988-06-28,1988-06-28,H8NY05032,1988
"BRENNER, WILLIAM A.",H,House,REP,REPUBLICAN PARTY,NY,22,22,{22},{2004},"{2004,2006}",P,C,Challenger,2005-03-02 00:00:00,2004-08-12,2004-08-17,2004-08-17,H4NY22028,2004
"RAVENSCROFT, DONALD",H,House,DEM,DEMOCRATIC PARTY,NY,24,24,"{26,24}","{1988,1996}","{1988,1990,1992,1996}",N,C,Challenger,2002-04-02 00:00:00,1996-11-27,1996-11-27,,H8NY26046,1996
"CHOU, EVERGREEN C",H,House,GRE,GREEN PARTY,NY,06,6,"{05,06}","{2008,2012}","{2008,2010,2012,2014,2016,2018}",N,C,Challenger,2014-04-01 09:00:45,2008-07-07,2012-06-19,2012-06-19,H8NY05081,2012
"HUMISTON, DANIEL J",H,House,REP,REPUBLICAN PARTY,NY,27,27,{27},{2008},"{2008,2010,2012}",P,C,Challenger,2008-04-21 22:55:05,2008-02-27,2008-02-27,2008-02-27,H8NY27093,2008
"BURLINGHAM, ELEANOR F",H,House,DEM,DEMOCRATIC PARTY,NY,22,22,"{22,22}","{1986,1988}","{1986,1988,1990}",P,C,Challenger,2002-03-30 00:00:00,1986-08-23,1988-08-26,1988-08-26,H6NY22072,1988
"COSTELLO, PAUL G",H,House,REP,REPUBLICAN PARTY,NY,02,2,{02},{1982},"{1982,1984}",P,,,2002-03-30 00:00:00,1982-08-12,1982-08-12,1982-08-12,H2NY02016,1982
"AUGUSTIN, OWEN",H,House,REP,REPUBLICAN PARTY,NY,12,12,"{12,12,12}","{1982,1984,1986}","{1982,1984,1986}",C,C,Challenger,2002-03-30 00:00:00,1984-09-07,1986-06-03,1986-06-03,H2NY12031,1986
"CARVIN, JOSEPH",H,House,REP,REPUBLICAN PARTY,NY,17,17,{17},{2012},"{2012,2014}",P,C,Challenger,2013-04-26 09:04:30,2012-03-26,2012-03-26,2012-03-26,H2NY17139,2012
"BUCHA, PAUL W",H,House,REP,REPUBLICAN PARTY,NY,19,19,{19},{1994},"{1994,1996,1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1994-06-29,1994-06-29,1994-06-29,H4NY19065,1994
"STRAND, MARION DOLORES",H,House,REP,REPUBLICAN PARTY,NY,28,28,{28},{1998},"{1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1998-04-06,1998-04-06,1998-04-06,H8NY28067,1998
"NORMAN, NANCY",H,House,REP,REPUBLICAN PARTY,NY,21,21,"{21,21}","{1992,1996}","{1992,1996,1998}",P,C,Challenger,2002-04-03 00:00:00,1996-07-17,1996-07-17,1996-07-17,H2NY21065,1996
"MIRZA, ALI A",H,House,DEM,DEMOCRATIC PARTY,NY,05,5,{05},{2016},"{2016,2018}",P,C,Challenger,2017-02-23 14:47:46,2016-01-11,2016-01-11,2016-01-11,H6NY05069,2016
"BLAKEMAN, BRUCE",H,House,REP,REPUBLICAN PARTY,NY,04,4,{04},{2014},"{2014,2016}",P,O,Open seat,2015-04-02 15:52:44,2014-02-28,2014-02-28,2014-02-28,H4NY04091,2014
"COOK, CONSTANCE E",H,House,REP,REPUBLICAN PARTY,NY,28,28,{28},{1984},"{1984,1986}",P,C,Challenger,2002-03-30 00:00:00,1984-04-26,1984-04-26,1984-04-26,H4NY28017,1984
"BEATTY, VANDER L",H,House,DEM,DEMOCRATIC PARTY,NY,12,12,{12},{1982},"{1982,1984,1986,1988}",P,C,Challenger,2002-03-30 00:00:00,1982-03-26,1982-03-26,1982-03-26,H2NY11025,1982
"GRAVES, STEPHEN ELLIOTT",H,House,REP,REPUBLICAN PARTY,NY,07,7,{07},{2004},"{2004,2006}",N,C,Challenger,2004-06-24 00:00:00,2004-03-04,2004-06-22,2004-06-22,H4NY07060,2004
